102 9722
Aelton_Freitas,PP Luiz_Antônio_Corrêa,PP 248
Aelton_Freitas,PP Luiz_Carlos,PSDB 150
Aelton_Freitas,PP Margarete_Coelho,PP 176
Aelton_Freitas,PP Mário_Negromonte_Jr.,PP 184
Aelton_Freitas,PP Marx_Beltrão,PP 163
Aelton_Freitas,PP Mauro_Lopes,PP 169
Aelton_Freitas,PP Neri_Geller,PP 106
Aelton_Freitas,PP Nilson_Pinto,PSDB 146
Aelton_Freitas,PP Norma_Ayub,PP 177
Aelton_Freitas,PP Osmar_Serraglio,PP 218
Aelton_Freitas,PP Pedro_Augusto_Palareti,PP 123
Aelton_Freitas,PP Pedro_Cunha_Lima,PSDB 69
Aelton_Freitas,PP Pedro_Lupion,PP 165
Aelton_Freitas,PP Pedro_Vilela,PSDB 153
Aelton_Freitas,PP Pedro_Westphalen,PP 203
Aelton_Freitas,PP Pinheirinho,PP 124
Aelton_Freitas,PP Ricardo_Barros,PP 186
Aelton_Freitas,PP Ronaldo_Carletto,PP 212
Aelton_Freitas,PP Shéridan,PSDB 101
Aelton_Freitas,PP Tereza_Cristina,PP 195
Aelton_Freitas,PP Vanderlei_Macris,PSDB 169
Aelton_Freitas,PP Carlos_Sampaio,PSDB 202
Aelton_Freitas,PP Felício_Laterça,PP 216
Aelton_Freitas,PP Guilherme_Mussi,PP 83
Aelton_Freitas,PP Joice_Hasselmann,PSDB 163
Aelton_Freitas,PP Leda_Sadala,PP 107
Aelton_Freitas,PP Lourival_Gomes,PP 170
Aelton_Freitas,PP Lucas_Redecker,PSDB 166
Aelton_Freitas,PP Marcelo_Aro,PP 104
Aelton_Freitas,PP Marco_Brasil,PP 58
Aelton_Freitas,PP Neucimar_Fraga,PP 157
Aelton_Freitas,PP Samuel_Moreira,PSDB 196
Aelton_Freitas,PP Vicentinho_Júnior,PP 140
Aelton_Freitas,PP Vitor_Lippi,PSDB 183
Aelton_Freitas,PP Afonso_Hamm,PP 133
Aelton_Freitas,PP Aguinaldo_Ribeiro,PP 142
Aelton_Freitas,PP André_Abdon,PP 173
Aelton_Freitas,PP Átila_Lira,PP 204
Aelton_Freitas,PP Eduardo_Barbosa,PSDB 201
Aelton_Freitas,PP Geovania_de_Sá,PSDB 162
Aelton_Freitas,PP Jerônimo_Goergen,PP 109
Aelton_Freitas,PP Aécio_Neves,PSDB 118
Aelton_Freitas,PP André_Fufuca,PP 90
Aelton_Freitas,PP Beto_Rosado,PP 162
Aelton_Freitas,PP Celina_Leão,PP 113
Aelton_Freitas,PP Dagoberto_Nogueira,PSDB 119
Aelton_Freitas,PP José_Nelto,PP 77
Aelton_Freitas,PP Paulo_Abi-Ackel,PSDB 118
Aelton_Freitas,PP Adolfo_Viana,PSDB 114
Aelton_Freitas,PP Bruna_Furlan,PSDB 34
Aelton_Freitas,PP Alexandre_Frota,PSDB 40
Aelton_Freitas,PP Arthur_Lira,PP 17
Aelton_Freitas,PP Doutor_Luizinho,PP 135
Aelton_Freitas,PP Danilo_Forte,PSDB 13
Aelton_Freitas,PP Mariana_Carvalho,PSDB 18
Aelton_Freitas,PP Rose_Modesto,PSDB 21
Aelton_Freitas,PP Rodrigo_Maia,PSDB 11
Aelton_Freitas,PP Rossoni,PSDB 40
Aelton_Freitas,PP Iracema_Portella,PP 23
Aelton_Freitas,PP Ruy_Carneiro,PSDB 24
